volcano_na,latitude,longitude,duration,BTime,ETime
Hunga Tonga-Hunga Ha'apai,-20.536,-175.382,"35",2014/12/19 00:00:00,2015/01/23 00:00:00
Gamalama,0.8,127.33,"7",2014/12/18 00:00:00,2014/12/25 00:00:00
Sinarka,48.873,154.182,"0",2014/12/03 00:00:00,2014/12/03 00:00:00
Villarrica,-39.42,-71.93,"1959",2014/12/02 00:00:00,2020/04/13 00:00:00
Lopevi,-16.507,168.346,"14",2014/12/01 00:00:00,2014/12/15 00:00:00
Fogo,14.95,-24.35,"77",2014/11/23 00:00:00,2015/02/08 00:00:00
Chirinkotan,48.98,153.48,"262",2014/11/21 00:00:00,2015/08/10 00:00:00
Ruiz,4.892,-75.324,"923",2014/11/18 00:00:00,2017/05/29 00:00:00
Saunders,-57.8,-26.483,"1903",2014/11/12 00:00:00,2020/01/28 00:00:00
Pavlof,55.417,-161.894,"3",2014/11/12 00:00:00,2014/11/15 00:00:00
Turrialba,10.025,-83.767,"40",2014/10/29 00:00:00,2014/12/08 00:00:00
Lewotobi,-8.542,122.775,"0",2014/10/06 00:00:00,2014/10/06 00:00:00
Ontakesan,35.893,137.48,"17",2014/09/27 00:00:00,2014/10/14 00:00:00
Rincon de la Vieja,10.83,-85.324,"37",2014/09/17 00:00:00,2014/10/24 00:00:00
Asosan,32.884,131.104,"610",2014/08/30 00:00:00,2016/05/01 00:00:00
Bardarbunga,64.633,-17.516,"182",2014/08/29 00:00:00,2015/02/27 00:00:00
Pacaya,14.382,-90.601,"176",2014/08/25 00:00:00,2015/02/17 00:00:00
Mayon,13.257,123.685,"68",2014/08/12 00:00:00,2014/10/19 00:00:00
Sabancaya,-15.787,-71.857,"144",2014/08/05 00:00:00,2014/12/27 00:00:00
Kuchinoerabujima,30.443,130.217,"0",2014/08/03 00:00:00,2014/08/03 00:00:00
San Cristobal,12.702,-87.004,"73",2014/07/20 00:00:00,2014/10/01 00:00:00
Rabaul,-4.271,152.203,"73",2014/07/07 00:00:00,2014/09/18 00:00:00
Copahue,-37.856,-71.183,"151",2014/07/04 00:00:00,2014/12/02 00:00:00
